Authority Terms,Mention only?,Researcher/Date,AltLastName,AltMiddleName,AltFirstName,Maiden Name,Title,AssociatedPlaces,Birth Place,Death Place,Place of Residence,Source for Places,Birth Date,Death Date,Marriage Date,Source for Dates,Spouse,Occupation,Occupation Source,Gender,Languages,Religions,Religions Source,Organizations,Organizations Source,Associated Letters,PRINT ID,LOD - WikiData,LOD - VIAF,LOD - LOC,Notes,HSP,LSF,SAA,SBB,AFSt,Barclay,Spence,Abraham,Incomplete?,
"Dickinson, William Lindow",False,CLW 12/4/24 - see Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,see ID# P000329 for potential duplicate,,,,,,,,1.0,,
"Diepenbroek, Coenraad van",False,BREN,Diepenbroich; Depenbrock,,Conrad; Konrad; Conraad,,,,,,"Haarlem, Netherlands",,,1714-09-01,,GAMEO,,Minister,GAMEO,Male,Dutch,Mennonite,,,,16155,P000048,,,,,,,1.0,,,,,,,
"Diephout, Adriaen van",False,BREN | 11/21/24,Diephuis; Deephout,Verkruyssen segge,Adrian; Adriaan; Adrien,,,,"Amsterdam, Netherlands",New Dutch Biographical Dictionary,"Amsterdam, Netherlands",New Dutch Biographical Dictionary,1645|circa,,,New Dutch Biographical Dictionary,,,,Male,Dutch,Mennonite,New Dutch Biographical Dictionary,United Flemish and Waterlander Congregation,New Dutch Biographical Dictionary,,P000886,,,,"Many other sources, not pertaining to these fields.",,,1.0,,,,,,,
"Dimsdale, Robert",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000887,,,,,1.0,,,,,,,,,
"Dix, Katherine",False,,Dickes; Dickens,,Katrin; Kati; Katie,,,,,,,,,,,,,,,Female,English,,,,,[15884?],P000330,,,,,1.0,,,,,,,,,
Dobbelaer,False,,,,,,,,,,,,,,,,,,,Male,,,,Vilssingen Congregation,,,P000888,,,,,,,1.0,,,,,,,
"Dockray, Thomas",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000822,,,,,,1.0,,,,1.0,,,,
"Dombell, Jane",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000331,,,,,1.0,,,,,,,,,
"Donens, Peter",False,,Dohmen; Dominick; Dominicus; Dönens,,Pieter; Peder,,,,,,,,,,,,,,,Male,German,,,,,,P000332,,,,,,,1.0,,,,,,,
"Donn, William",False,,Dunn; Donne,,,,,,,,,,,,,,,,,Male,English,,,,,,P000889,,,,,1.0,,,,,,,,,
"Doornbusch, Jan Luirts",False,BREN,Doorbush; Dornbusch; Doorbush,,Johan; John; Johannes,,,,,,"Groningen, Netherlands",,,,10 August 1709,AlleGroningers,,,,Male,Dutch,Mennonite,,,,,P000333,,,,,,,1.0,,,,,,,
"Dotson, Richard",False,,Doutson,,,,,"Aspull, Lancashire, England",,,,,,[1683],,DoD: #16160,,,,Male,English,,,,,,P000890,,,,,1.0,,,,,,,,,
"Downall, James",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000049,,,,,1.0,,,,,,,,,
"Drecks, Hindrick Hindriks Van",False,,Dreks; Drecs; Drex; Draca; Drelick; Drake; Drecksz; Rondrecks; Randrecks,,Hendrick; Henrik; Heinrich,,,,,,,,,,,,,,,Male,German,Mennonite,,Krefeld Congregation,,,P000334,,,,,,,1.0,,,,,,,
"Drijans, Hendrick",False,,Dryans; Drigans,,Hindrick; Henrik; Heinrich,,,,,,,,,,,,,,,Male,Dutch,,,,,,P000892,,,,,,,1.0,,,,,,,
"Dring, Robert",True,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000893,N/A,N/A,N/A,,,1.0,,,,1.0,,,,
"Droiebell, Hans",False,,Driebel; Drobel; Triebell,,Hannes; Hanß,,,,,,,,,,,,,,,Male,German,,,,,,P000335,,,,,,,1.0,,,,,,,
"Drost, Jan",False,,Drossessere; Drossaard; Dröst; Droste,,Johan; John; Johannes,,,,,,,,,,,,,,,Male,Dutch,,,West-Zaandam Congregation,,,P000894,,,,,,,1.0,,,,,,,
"Druyvesteyn, Jacob",False,,Druyvestijn; Druyvestein,,Jakob; Jakop; Jacop,,,,,,,,,,,,,,,Male,Dutch,,,,,,P000895,,,,Sources that do not pertain to these fields. ,,,1.0,,,,,,,
"Duncan, William",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000897,,,,,1.0,,,,,,,,,
"Dunn, Francis",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000337,,,,,1.0,,,,,,,,,
"Dury, Andrew",False,,,,,,,Barbados,,,,https://stars.library.ucf.edu/printmigrationnetwork-pemberton/189/,1600,,,,,merchant,"Robert Charles Moon, Morris Family of Philadelphia: Descendants of Anthony Morris, vol. 1 (Philadelphia, 1908): 117-119, https://play.google.com/books/reader?id=9hs5AAAAMAAJ&hl=en&pg=GBS.PA117.",Male,English,,,,,,P000898,,,,,1.0,,,,,,,,,
"Dusheyst, Adolf Van",False,,Duijst; Donsheijst; Dunsheist,,Adolph,,,,,,,,,,,,,,,Male,German,Mennonite,,Krefeld Congregation,,,P000338,,,,,,,1.0,,,,,,,
"Dymock, Tobias",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,16066,P000050,,,,,1.0,,,,,,,,,
"Dyson, John",False,,Dison,,,,,,,,,,,,,,,,,Male,English,,,,,16146,P000831,,,,,,,,,,,,,,
"Eastbourne, John",False,,Eastbourn; Eastborne; Eastborn,,,,,,,,,,,,,,,,,Male,English,,,,,,P000339,,,,,1.0,,,,,,,,,
"Eberling, Jacob",False,,Everling; Eberlin; Eberlein; Everlinck; Everlin,,Jakob; Jakop; Jackop,,,,,,"Obersülzen, Germany",GAMEO,,,,,,Elder,GAMEO,Male,German,Mennonite,,,,,P000341,,,,,,,1.0,,,,,,,
"Edmondson, John",False,BNC 11/21/2024,Edmonson; Edmundson,,,,,"Maryland;
Tred Avon River, Talbot County, Maryland",,,,,,,,,,,,Male,English,,,,,,P000051,n.a.,n.a.,n.a.,"house on Tred Avon River, MD used as a meetinghouse",1.0,1.0,,,,,1.0,,,
"Egli, Maartin",False,,Egilof; Egenolf; Eikli; Egly; Egle,,Martin,,,,,,,,,,,,,,,Male,German,,,,,,P000343,,,,,,,1.0,,,,,,,
"Elletson, Jeffrey",False,BNC 11/21/2024,Ellison,,,,,,,,,,,,,,,,,Male,English,,,,,,P000901,n.a.,n.a.,n.a.,could possibly be a lieutenant colonel for Cromwell {[https://www.jstor.org/stable/24402282}} (BNC 11/24),,1.0,,,,,1.0,,,
"Elliot, Andrew",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,,,,,,1.0,,,,,,,,,
"Ellis, Thomas",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000344,,,,,,1.0,,,,1.0,,,,
"Ellis, William",True,AIN 4/29/2025,,,,,,"Airton, Yorkshire, England; Bucks, Pennsylvania ","Airton, Yorkshire, England",,,,1658,1709,,Edited collection of his letters available in Sources folder  ,,missionary,,Male,English,,,,,,P000345,,,,16051 mentions him as an intermediary between Phineas Pemberton and Ellis' friend Abraham Ogden ,1.0,,,,,,,,,
"Emley, William",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,16105,P000347,,,,,1.0,,,,,,,,,
"Empson, Cornelius",False,,,,,,Judge (1689-1701),"Yorkshire, England; New Castle County, Delaware","Yorkshire, England",,"New Castle County, Delaware",,c. 1660,1711,,,,Justice of the peace,,Male,English,,,,,,P000052,,,,married Mary Sanderson,1.0,,,,,,,,,
"Endon, Joseph",False,,Enden,,,,,,,,,,,,,,,,,Male,English,,,,,,P000348,,,,,1.0,,,,,,,,,
"England, Philip",False,,,,,,,"Ireland; New Castle County, Delaware","Tennekelly, County Westmeath, Ireland","New Castle County, Delaware",Ireland$t1683; Delaware,https://www.wikitree.com/wiki/England-3151,1640,1708,1658; 1688-10-01,https://www.wikitree.com/wiki/England-3151,,,,Male,English,,,,,,P000053,,,,"Children: John, Margaret, James, Mary, Joseph, Sarah, Jacob, Thomas, and Elizabeth;
Wives: Bathshebath (nee Clibborn), Elizabeth (nee Hill);
Arrived in Philadelphia in 1683 with wife and daughters Margaret and Mary. Son Joseph already in America",1.0,,,,,,,,,
"English, Joseph",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,16065,P000054,,,,,1.0,,,,,,,,,
"Erfurt, Augustiner Gemeinde Zu",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
"Erfurt, Magistrat",False,,,,,,Magistrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
"Erfurt, Ministerium Zu",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
"Erfurth, Burgermeister Of",False,,,,,,Burgermeister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
"Estan, David",False,,Easten,,,,,,,,,,,,,,,,,Male,English,,,,,,P000349,,,,,1.0,,,,,,,,,
"Evernden, Thomas",False,,Everndon,,,,,,,,,,,,,,,,,Male,English,,,,,,P000350,N/A,N/A,N/A,,,1.0,,,,1.0,,,,
"Fagel, François",False,BREN,Fadil,Nicolaes; Nicolaas; Niclaas ,Francis; Francois,,,,"The Hague, Netherlands","The Hague, Netherlands","The Hague, Netherlands",New Dutch Biographical Dictionary,"20 December, 1659","4 October, 1746",August 1693,New Dutch Biographical Dictionary,,Statesman; Clerk,New Dutch Biographical Dictionary,Male,Dutch,,,States General,,,P000351,,,,,,,1.0,,,,,,,
"Fallowfield, Jacob",False,AIN 4/22/2025,Hallowfield,,,,,Pennsylvania,,,,,,,,,,,,Male,English,Quaker,,,,16045;16028,P000902,,,,,1.0,,,,,,,,,
"Fawcett, Margaret",False,BNC 04/15/2025,,,,,,,,,,,,,,,,,,Female,English,,,,,,,n.a.,n.a.,n.a.,,,,,,,,,1.0,,
"Feddes, Huibert",False,BREN,Fiddes; Feddercke; Friedrich,,Hubert; Huijbers; Huybers; Huijbert,,,,,,"Harlingen, Netherlands",,,,,,,Teacher,AlleFriezen,Male,Dutch,Mennonite,,,,,P000352,,,,Feddes family member (Pieter) present within the New Dutch Biographical Dictionary.,,,1.0,,,,,,,
"Fell, Hannah",False,BNC 04/29/2025,Cooke; Potter,,,Cooke,,,"Bristol, Gloucestershire, England",,,,c. 1638 {{https://www.familysearch.org/en/tree/person/about/GMF8-YHJ}},c. 1679 {{https://www.familysearch.org/en/tree/person/about/GMF8-YHJ}},December 1660 (Bonnelyn Young Kunze. 1993. Margaret Fell and the Rise of Quakerism. Palgrave Macmillan.),,Luke Potter; George Fell,,,Female,English,,,,,,,n.a.,n.a.,n.a.,,,,,,,,,1.0,,
"Fell, Hoskin",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,,,,,,1.0,,,,,,,,,
"Fell, Jonathan",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,,,,,,1.0,,,,,,,,,
"Fell, Susannah",False,BNC 03/27/2025,,,,,,,,,,,1650,,c. 1691,,William Ingram,,,Female,English,Quaker,,,,,,n.a.,n.a.,n.a.,,,,,,,,,1.0,,
"Finch, Moses",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,15895,P000569,,,,,1.0,,,,,,,,,
"Fisher, John",False,,Fischer,,,,,"Philadelphia, Pennsylvania",,,,,,,,,,,,Male,English,,,,,,,,,,,1.0,,,,,,,,,
"Fisher, Martha",True,,Fischer,,,,,,,,,,,,,,,,,Female,English,,,,,,P000360,N/A,N/A,N/A,,,1.0,,,,1.0,,,,
"Fitzwater, Thomas",False,AIN 4/9/2025,,,,,,,,,,,,,,,,,,Male,English,Quaker,,,,,P000363,,,,,1.0,,,,,,,,,
"Fletcher, Elizabeth",False,,,,,,,"Cheshire, England$s1654; Lancashire, England$s1654",,,,"James Murphy, ""The Old Quaker Meeting House in Hackins Hey, Liverpool,"" 1954",,,,,,,,Female,English,,,,,,P000364,,,,,1.0,,,,,,,,,
"Fletcher, John",False,,,,Jonathan,,,"Bolton, Lancashire, England",,,,,,1683,,DoD: #16160,,,,Male,English,,,,,16158,P000366,,,,,1.0,,,,,,,,,
"Fletcher, Robert",False,,,,,,,"Bolton, Lancashire, England",,,,,,,,,,,,Male,English,,,,,16160,P000367,,,,,1.0,,,,,,,,,
"Ford, Richard",True,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000055,,,,,,1.0,,,,1.0,,,,
"Ford, Thomas",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000369,,,,,1.0,,,,,,,,,
"Foreman, Thomas",False,,Fearman,,,,,,,,,,,,,,,,,Male,English,,,,,,P000370,,,,,1.0,,,,,,,,,
"Fothergill,  John",False,AIN 4/9/2025,,,,,Doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
"Fowler, Robert",True,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000371,,,,,,1.0,,,,1.0,,,,
"Fox, James",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000056,,,,,1.0,,,,,,,,,
"Francke, Johann Friedrich",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
"Francken, Everwijn",False,BREN,Franken; Franke; Vranken,,Everwyn; Everwynn; Eberwijn,,,,,,"Zutphen, Gelderland, Netherlands",GAMEO,,,,,,Preacher,GAMEO,Male,,Mennonite,,Zutphen Congregation,,,P000374,,,,,,,1.0,,,,,,,
"Fransz, Sievers",False,,Franz; Frans,,Sievert; Siemers; Seevers,,,,,,,,,,,,,,,Male,,,,Groningen Congregation,,,P000375,,,,,,,1.0,,,,,,,
"Frederik I, King In Prussia",False,,Frederick; Friedrick; Friedrik,,,,King; Koning,,,,,,,,,,,,,Male,,,,,,,,,,,,,,1.0,,,,,,,
"Freriks, Frerik",False,BREN | 11/17/24,Frederick; Friedricks; Friedriks; Fredrichs,,Frederick; Friedricks; Friedriks; Fredrichs,,,,,,"Groningen, Netherlands",,,,,,,,,Male,Dutch,Mennonite,,,,,P000908,,,,,,,1.0,,,,,,,
"Freriks, Izaak",False,BREN | 11/17/24,Frederick; Friedricks; Friedriks; Fredrichs,,Isaac; Isaak; Izaac,,,,,,,,,,,,,,,Male,Dutch,Mennonite,,,,,P000910,,,,,,,1.0,,,,,,,
"Freriksen, Teunis",False,BREN | 11/17/24,Frederick; Friedricks; Friedriks; Fredrichs; Frerickson; Frerikson,,Anthonius; Theuns; Teunis; Antonie; Antoine; Anthony,,,,,,"Groningen, Netherlands",,,,,,,,,Male,,,,,,,P000913,,,,,,,1.0,,,,,,,
"Freriksz, Jan",False,BREN | 11/17/24,Frederick; Friedricks; Friedriks; Fredrichs; Freriks; Frederyksz; Fredericksen,,John; Johan; Johannes,,,,,,"Deventer, Netherlands",GAMEO,,,,,,,,Male,Dutch,,,Deventer Congregation,,,P000909,,,,,,,1.0,,,,,,,
"Freworth, Thomas",True,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000057,N/A,N/A,N/A,,,1.0,,,,1.0,,,,
"Funck, Henrick",False,BREN | 11/17/24,Funk; Vunck; Vunke,,Hendrick; Hendrik; Heinrich,,,,,,,,,,,,,,,Male,,,,Committee for Foreign Need; Congregation of the Lam,,,P000915,,,,,,,1.0,,,,,,,
"Gamble, Francis",True,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000378,N/A,N/A,N/A,,,1.0,,,,1.0,,,,
"Gandersheim, Abtissin",False,,,,,,Abtissin,,,,,,,,,,,,,,,,,,,,,,,,AMF - this is Henriette Christine von Braunschweig-Wolfenbüttel. She took up the position of Abbess in Gandersheim in 1694. ,,,,,1.0,,,,,
"Gandy, William",False,,Gandey; Gandee; Gandye ,,Wm,,,"Nantwich, Cheshire, England",,,,#15815,,,,,,,,Male,English,,,,,15815,P001130,,,,,1.0,,,,,,,,,
"Gardiner, Daniel",False,,,,Dan,,,,,,,,,,,,,,,Male,English,,,,,,P000379,,,,In legal suit with Thomas Clark (P000809),1.0,,,,,,,,,
"Gardner, Isabel",False,BNC 11/25/2024,,,,,,,,,,,,,,,,,,Female,English,,,,,16176,P000808,n.a.,n.a.,n.a.,,,1.0,,,,,1.0,,,
"Garman, Thomas",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,,,,,,1.0,,,,,,,,,
"Garside, Abraham",False,,Carside,,,,,,,,,,,,,,,,,Male,English,,,,,,,,,,,1.0,,,,,,,,,
"Gauber, Niclaus",False,,Gampen; Gaubert; Gautberht; Galbert; Guber,,Nicholas; Niklaus; Niclaes; Niklaes,,,,,,,,,,,,,,,Male,German,,,,,,P000381,,,,,,,1.0,,,,,,,
"Gent, Jan Van",False,BREN | 11/17/24,Jent; Ghent; Gand; Genck; Gendt,,John; Johan; Johannes,,,,,,"Rotterdam, Netherlands",,,,,,,Deacon,GAMEO,Male,Dutch,Mennonite,,,,,P000917,,,,,,,1.0,,,,,,,
"Gerbard, Caspar",False,AMF 4/7/2025,Gerbardt,,,,,"Erfurt, Thuringia, Germany",,,,,,,,,,Locksmith {{https://archiv.francke-halle.de/hzeig.FAU?sid=6526D7BB14&dm=1&dokref=1&indx=%23F211%23&auft=Gerbard%2C+Caspar}},,,,,,,,,,,,,,,,,,1.0,,,,,
"Gerish, Thomas",False,,,,,,,,,,,,,,,,,,,,,,,,,,P000203,N/A,N/A,N/A,,,1.0,,,,1.0,,,,
"Gersten, Adrian",False,,Gertse,,,,,,,,,,,,,,,,,Male,English,,,,,15913,P000058,,,,,1.0,,,,,,,,,
"Gesberts, Jacob",False,,Gijsbers,,,,,,,,,,,,,,,,,Male,English,,,,,15913; 15935,P000382,,,,,1.0,,,,,,,,,
"Gibbs, Henry",True,AIN 3/7/2025,Gibs,,,,,"Bucks, Pennsylvania; Pennsbury, Pennsylvania {{https://www.familysearch.org/ark:/61903/3:1:3QS7-L9SM-8ZV6?wc=9PMG-SP8%3A268497401%2C271057101%26cc%3D1999196&lang=en&i=9}}",,"Bucks County, Pennsylvania {{https://www.familysearch.org/ark:/61903/3:1:3QS7-L9SM-8ZV6?wc=9PMG-SP8%3A268497401%2C271057101%26cc%3D1999196&lang=en&i=9}}",Pennsbury Manor; Pennsylvania [[Accounts of Goods at Pennsbury]],,,1685-12-16 {{https://www.familysearch.org/ark:/61903/3:1:3QS7-L99B-LV9T?i=96&wc=9PMD-7MS%3A268497401%2C270900701&cc=1999196&lang=en}},,,Elizabeth Gibbs {{https://www.familysearch.org/ark:/61903/3:1:3QS7-L9SM-8ZV6?wc=9PMG-SP8%3A268497401%2C271057101%26cc%3D1999196&lang=en&i=9}},Carpenter {{https://www.familysearch.org/ark:/61903/3:1:3QS7-L9SM-8ZV6?wc=9PMG-SP8%3A268497401%2C271057101%26cc%3D1999196&lang=en&i=9}},,Male,English,Quaker,,,,15902,P000383,,,,15902- mentioned as intermediary between Ralph Smith's family members and James Harrison; he was a carpenter at Pennsbury,1.0,,,,,,,,,
"Gibson, John",True,BNC 05/12/2025,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000797,,,,possibly William Gibson's son/grandson (BNC 05/07/2025),1.0,1.0,,,,1.0,,,,
"Godshalk, Jacob",False,BREN,Gottschalk; Gottshalk; Godschalk; Gaedtschalck; Godshall; Gottshall,,Jakob; Jakop; Jacop,,,,"Goch, Kreis Kleve, Nordrhein-Westphalen, Germany","Montgomery County, Pennsylvania, USA","Goch, Germany",GAMEO,[1670],[May 1763],[1688],FindAGrave,,Preacher,GAMEO,Male,German,Mennonite,,Germantown Congregation; Skippack Congregation; Towamencin Congregarion,GAMEO,,P000919,,,,Date discrepancies within FindAGrave itself. No idea where they got that information though. ,,,1.0,,,,,,,
"Goijen, Goosse",False,,Goyen; Goen; Goeje,,Goose; Gosen; Gooss; Gossen,,,,,,,,,,,,,,,Male,,,,Skippack Congregation; Doopsgezinde Gemeente,,,P000920,,,,,,,1.0,,,,,,,
"Goodacre, Samuel",False,,,,,,,,,,,,,,,,,,,,,,,,,,P001101,N/A,N/A,N/A,,,1.0,,,,1.0,,,,
"Goodday, George",False,,,,,,,"the Globe, Cannon Street, London, England",,,,https://stars.library.ucf.edu/printmigrationnetwork-pemberton/324/,,,,,,,,Male,English,,,,,,P000922,,,,,1.0,,,,,,,,,
"Goodson, John",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,16126,P000385,,,,,1.0,,,,,,,,,
"Goss, Charles",True,AIN 4/10/2025,Gauss,,,,,"Philadelphia, Pennsylvania {{https://stars.library.ucf.edu/printmigrationnetwork-pemberton/249/}}",[England],"Philadelphia, Pennsylvania {{https://stars.library.ucf.edu/printmigrationnetwork-pemberton/249/}}",,,,1697-07-00 {{https://stars.library.ucf.edu/printmigrationnetwork-pemberton/249/}},,,,merchant [[Abstract of Wills at Philadelphia]],,Male,English,,,,,16043,P000386,,,,part of pirate saga of Philadelphia in the 17th century more on this website https://edmondcasteel.wordpress.com/edmond-duchastel/  ,1.0,,,,,,,,,
"Gough, Jeremiah",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000387,,,,,1.0,,,,,,,,,
"Gould, Daniel",False,,Gold,,,,,Rhode Island,England,"Newport, Newport County, Rhode Island","Boston, Massachusetts",https://stars.library.ucf.edu/printmigrationnetwork-pemberton/395/,1625,1716-03-00,1651-12-00,,,author; pastor; missionary,,Male,English,quaker$s1658,,,,,P000388,,,,https://www.findagrave.com/memorial/185925781/daniel-gould,1.0,,,,,,,,,
"Gouldney, Adam",False,,Goldney,,,,,,,,,,,,,,,,,Male,English,,,,,,P000060,N/A,N/A,N/A,,,1.0,,,,1.0,,,,
"Govaerts, Tobias",False,,Godfried; Goverts,,Tobbe; Tovias,,,,,,,,,,,,,,,Male,,,,,,,P000390,,,,,,,1.0,,,,,,,
"Gratton, Elizabeth",False,,,,,,,,,,,,,,,,,,,Female,English,,,,,,P000923,,,,,1.0,,,,,,,,,
"Gray, George",True,BNC 05/12/2025,,,,,,"Barbados; Philadelphia, Pennsylvania",Barbados {{https://web.tricolib.brynmawr.edu/speccoll/quakersandslavery/commentary/people/fox.php}},"Philadelphia, Pennsylvania {{https://www.google.com/books/edition/_/yIBPAAAAMAAJ?hl=en&gbpv=0}}",,,[1650] {{https://www.google.com/books/edition/_/yIBPAAAAMAAJ?hl=en&gbpv=0}},[1718] {{https://web.tricolib.brynmawr.edu/speccoll/quakersandslavery/commentary/people/fox.php}},,,Hannah Gray; Mary Beardsley; Mary Hill; Naomi Walley Berry,shopkeeper; plantation owner; ,,Male,English,Quaker,,,,15950,P000061,n.a.,n.a,n.a ,wrote a pro-slavery epistle {{https://web.tricolib.brynmawr.edu/speccoll/quakersandslavery/commentary/people/fox.php}} (BNC 05/07/2025),1.0,1.0,,,,1.0,,,,
"Green, Anthony",False,,Greene,,,,,"the Ram, Watling Street, London, England",,,,https://stars.library.ucf.edu/printmigrationnetwork-pemberton/324/,,,,,,,,Male,English,,,,,,P000062,,,,,1.0,,,,,,,,,
"Green, George",False,,Greene,,,,,,,,,,,,,,,combmaker,https://stars.library.ucf.edu/printmigrationnetwork-pemberton/324/,Male,English,,,,,16126,P000391,,,,,1.0,,,,,,,,,
"Green, John",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
"Green, Jon",False,,Greene,,John; Jonathan,,,,,,,,,,,,,,,Male,English,,,,,16126; 15823,P000392,,,,,1.0,1.0,,,,,,1.0,,
"Greeneland, Henry",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000394,,,,,1.0,,,,,,,,,
"Gregory, Adam",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,15837,P000395,,,,likely brother to Robert; intended to buy property from Phineas before the Pembertons left for PA,1.0,,,,,,,,,
"Gregory, Alice",False,,,,Alis,,,Ireland,,,,,,,,,,,,Female,English,,,,,15954,P000396,,,,,1.0,,,,,,,,,
"Gregory, Giles",True,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000397,,,,,1.0,,,,,,,,,
"Gregory, Mary",True,,,,,,,,,,,,,"before
1684-06-01 ",,#15954,,,,Female,English,,,,,15954,P000398,,,,died before #15954 sent 1684-06-01,1.0,,,,,,,,,
"Gregory, Peter",False,,,,,,,"Oxford, England",,,,#15954,,,,,,,,Male,English,,,,,15954,P000399,,,,,1.0,,,,,,,,,
"Gregory, Robert",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,15837,P000400,,,,likely brother to Adam; intended to buy property from Phineas before the Pembertons left for PA,1.0,,,,,,,,,
"Griffiths, Francis",False,,,,,,,,,,,,,,,,,,,,English,,,,,,P000401,,,,,1.0,,,,,,,,,
"Griffiths, Owen",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000063,,,,,1.0,,,,,,,,,
"Groom, Samuel",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,15943,P000402,,,,,1.0,,,,,,,,,
"Growden, Joseph",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000403,,,,,1.0,,,,,,,,,
"Gründler, Utilia Elisabeth",False,LAB - 1/30/2025,Gruendler,,,,,,"Jutland, Denmark",,"Tharangambadi, India",https://digital.francke-halle.de/fsha/content/titleinfo/600831,1675-05-19,,,,,,,Female,German,Pietist,,,, AFSt-M_1_C_11_48,,,,,,,,,,1.0,,,,,
"Grundy, John",False,,Grindy; Grundey,,,,,,,,,,,,,,,,,Male,English,,,,,,P000064,,,,,1.0,,,,,,,,,
"Grundy, Richard",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,15954,P001122,,,,,,,,,,,,,,
"Grusher, Melchior",False,,Gusher; Grueser; Grüz,,Melchor; Melior,,,,,,,,,,,,,,,Male,,,,,,,P000404,,,,,,,1.0,,,,,,,
"Gulik, Augustus Von",False,,Gulick; Jülich,,Auguste; August; Agustin; Augustine,,,,,,,,,,,,,,,Male,,,,,,,P000924,,,,,,,1.0,,,,,,,
"Gut, Jakob",False,,Guts; Güts; Goth; Guth,,Jacob; Jakop; Jacop,,,,,,,,,,,,,,,Male,,,,Congregation of the Toren,,,P000925,,,,,,,1.0,,,,,,,
"Hackman, Urig",False,,Hogman; Hakmann; Hakman; Hake,,Uric; Urich; Urick; Ulrich; Ulrik; Ulrig,,,,,,,,,,,,,,,Male,,,,,,,P000926,,,,,,,1.0,,,,,,,
"Haesbaert, Elizabeth",False,CLW 12/16/24,Haesbaert; Haysbert; Haubert; Haesburt; Haysburt; Häsbärt,,,,,"Emden, Germany",,,,15935,,,,,,,,Female,Dutch,,,,,15935,P001143,,,,intends to marry Jan Roelofs,1.0,,,,,,,,,
"Haesbaert, Jacob",False,,Haesbaert; Haysbert; Haubert; Haesburt; Haysburt; Häsbärt,,,,,,,,,,,,,,,,,Male,,,,Palatinate Ministers,,,P000928,,,,Pretty sure I have identified the correct person here. Need to see the document he features in (uninventoried as of 10/24) to further confirm before taking away uncertainty.,,,1.0,,,,,,,
"Halberstadt, Fraulein Von Rucken Zu Dedeleben B.",False,AMF 4/22/2-25,Rück,,,,,,,,"Dedeleben, Harz, Saxony-Anhalt, Germany {{https://archiv.francke-halle.de/hzeig.FAU?sid=DC14909F28&dm=1&dokref=1&indx=%23F211%23&auft=R%FCck%2C+von%2C+1698}}",,before 1690-00-00 {{https://archiv.francke-halle.de/hzeig.FAU?sid=DC14909F28&dm=1&dokref=1&indx=%23F211%23&auft=R%FCck%2C+von%2C+1698}},,,,,,,Female,,,,,,,,,,,AMF - A beneficiary of the orphanage in Halle,,,,,1.0,,,,,
"Hall, Jacob",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000927,,,,,1.0,,,,,,,,,
"Hall, Jane",False,BNC 11/26/2024,,,,,,,,,,,,,,,,,,,,,,,,,P000065,n.a.,n.a.,n.a.,"may be Jane Fearon https://en.wikipedia.org/wiki/Jane_Fearon could also be ""Jeanne (Jane) Woolen"" https://www.wikitree.com/wiki/Woollen-47",,1.0,,,,,1.0,,,
